CustomerID,CustomerName,Region,SignupDate,TotalValue,Quantity,Cluster
C0001,Lawrence Carroll,South America,2022-07-10,3354.5200000000004,12.0,2
C0002,Elizabeth Lutz,Asia,2022-02-13,1862.74,10.0,0
C0003,Michael Rivera,South America,2024-03-07,2725.38,14.0,2
C0004,Kathleen Rodriguez,South America,2022-10-09,5354.88,23.0,4
C0005,Laura Weber,Asia,2022-08-15,2034.24,7.0,0
C0006,Brittany Palmer,South America,2024-01-07,4227.57,12.0,2
C0007,Paul Graves,Asia,2022-06-18,2579.8199999999997,8.0,0
C0008,David Li,North America,2024-01-13,4271.61,20.0,1
C0009,Joy Clark,Europe,2023-08-14,896.5,3.0,3
C0010,Aaron Cox,Europe,2022-12-15,1717.5500000000002,12.0,0
C0011,Bryan Mathews,South America,2022-12-12,3730.0,13.0,2
C0012,Kevin May,South America,2024-08-07,5231.259999999999,19.0,1
C0013,Lauren Buchanan,South America,2024-05-19,6000.56,18.0,1
C0014,Deborah Wilcox,Europe,2024-06-22,318.66,2.0,3
C0015,Tina Duran,North America,2023-11-20,1157.48,4.0,3
C0016,Emily Woods,North America,2024-01-03,3874.42,10.0,2
C0017,Jennifer King,Europe,2023-12-05,4753.82,21.0,1
C0018,Tyler Haynes,North America,2024-09-21,4781.85,18.0,1
C0019,Brandon Rodriguez,Europe,2023-01-12,2185.8199999999997,11.0,0
C0020,Mr. Manuel Conway,North America,2024-06-11,922.41,3.0,3
C0021,Robert Blanchard,Asia,2023-04-17,5419.92,17.0,1
C0022,Teresa Esparza,Asia,2023-10-27,4655.07,15.0,1
C0023,Nicholas Cain,Europe,2022-03-04,5158.65,14.0,1
C0024,Michele Cooley,North America,2024-02-05,3627.02,14.0,2
C0025,Gregory Odom,South America,2022-07-04,1589.81,8.0,0
C0026,Sara Miller,North America,2024-05-03,3549.05,12.0,2
C0027,Justin Heath,Asia,2022-11-09,2562.94,12.0,2
C0028,Jennifer Pena,Asia,2024-06-29,6819.57,24.0,4
C0029,Erin Manning,North America,2022-04-16,1785.8700000000001,10.0,0
C0030,Mark Brock,North America,2024-01-30,2549.6800000000003,13.0,2
